Model,Best_Parameters,CV_Score
LogisticRegression,"{
  ""C"": 10,
  ""max_iter"": 100,
  ""solver"": ""liblinear""
}",0.9684184031289058
DecisionTree,"{
  ""criterion"": ""gini"",
  ""max_depth"": 20,
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 2
}",0.957497695876237
SVM,"{
  ""C"": 1,
  ""gamma"": ""scale"",
  ""kernel"": ""linear""
}",0.9682479810629774
KNN,"{
  ""metric"": ""manhattan"",
  ""n_neighbors"": 3,
  ""weights"": ""distance""
}",0.9528218910513049
RandomForest,"{
  ""max_depth"": null,
  ""max_features"": ""sqrt"",
  ""min_samples_leaf"": 1,
  ""min_samples_split"": 10,
  ""n_estimators"": 100
}",0.9645918958893714
